Entity,Code,Year,Solar PV Module Cost (2019 US$ per W)
World,OWID_WRL,2000,4.879966188
World,OWID_WRL,2001,4.773879966
World,OWID_WRL,2002,4.031276416
World,OWID_WRL,2003,3.978233305
World,OWID_WRL,2004,4.137362637
World,OWID_WRL,2005,4.243448859
World,OWID_WRL,2006,4.455621302
World,OWID_WRL,2007,4.137362637
World,OWID_WRL,2008,3.447802198
World,OWID_WRL,2009,2.386939983
World,OWID_WRL,2010,2.04475
World,OWID_WRL,2011,1.67725
World,OWID_WRL,2012,0.876416667
World,OWID_WRL,2013,0.696333333
World,OWID_WRL,2014,0.6415
World,OWID_WRL,2015,0.5965
World,OWID_WRL,2016,0.5505
World,OWID_WRL,2017,0.462166667
World,OWID_WRL,2018,0.4115
World,OWID_WRL,2019,0.37725
World,OWID_WRL,2020,0.33125